mrt,lat,long
MATTAR STATION,1.3268577969439321,103.88326440068089
UBI STATION,1.3299645406225626,103.89935958225976
BENCOOLEN STATION,1.2987921726516019,103.85034280142528
RIVER VALLEY STATION,1.2923738713256148,103.84411687818232
TUAS WEST ROAD,1.3300619488941492,103.63953657652051
TUAS LINK,1.3409808237291676,103.63697900934861
TUAS CRESCENT,1.3211183482112667,103.64899216985889
GUL CIRCLE,1.3194345895858715,103.66050648358441
JALAN BESAR,1.3136680070626634,103.86298786868512
UPPER CHANGI STATION,1.3418431066287186,103.9614622232782
CASHEW,1.3693787839787093,103.76471692524144
HILLVIEW,1.3623766799394363,103.76741206478033
BAYFRONT STATION,1.2818119354310848,103.85915223000966
Beauty World Station,1.3409312153551423,103.77569992899659
SIXTH AVENUE STATION,1.3307282004314467,103.79721120014052
EXPO STATION,1.3352016390275157,103.96219845806279
King Abert Park,1.3357505764559765,103.78375214466408
SENGKANG,1.3913593329794902,103.89533163845002
KRANJI MRT STATION,1.4250621924355402,103.76174026701891
MARSILING MRT STATION,1.4325651018354288,103.77406404092183
WOODLANDS MRT STATION,1.4368792641265657,103.78607800523048
ADMIRALTY MRT STATION,1.4405330366972564,103.80089275062421
SEMBAWANG MRT STATION,1.4491561534988657,103.82052790211601
YISHUN MRT STATION,1.4294118965157723,103.83502557183832
KHATIB MRT STATION,1.41756756043326,103.83304746770699
MARINA BAY MRT STATION,1.2767089999459789,103.85454341979577
CITY HALL MRT STATION,1.2929847090482807,103.85266588123608
BUGIS MRT STATION,1.3004328034265293,103.85568508566934
SOMERSET MRT STATION,1.3002571838983699,103.83902835319091
NEWTON MRT STATION,1.312289903557249,103.8380119786019
CLARKE QUAY MRT STATION,1.2881240012383024,103.84641299477315
ESPLANADE,1.2932196123115456,103.85578755818025
ESPLANADE,1.2940170989448643,103.85518584679356
ESPLANADE,1.2938553986922279,103.85503758081799
